2024-03-26 18:21:57 | INFO | model_worker | Loading the model ['chatglm3-6b'] on worker 15613c7f ...
2024-03-26 18:22:00 | ERROR | stderr | Loading checkpoint shards:   0%|                                                                                              | 0/7 [00:00<?, ?it/s]
2024-03-26 18:22:00 | ERROR | stderr | Loading checkpoint shards:  14%|████████████▎                                                                         | 1/7 [00:00<00:01,  3.35it/s]
2024-03-26 18:22:00 | ERROR | stderr | Loading checkpoint shards:  29%|████████████████████████▌                                                             | 2/7 [00:00<00:01,  3.27it/s]
2024-03-26 18:22:01 | ERROR | stderr | Loading checkpoint shards:  43%|████████████████████████████████████▊                                                 | 3/7 [00:00<00:01,  3.30it/s]
2024-03-26 18:22:01 | ERROR | stderr | Loading checkpoint shards:  57%|█████████████████████████████████████████████████▏                                    | 4/7 [00:01<00:00,  3.34it/s]
2024-03-26 18:22:01 | ERROR | stderr | Loading checkpoint shards:  71%|█████████████████████████████████████████████████████████████▍                        | 5/7 [00:01<00:00,  3.36it/s]
2024-03-26 18:22:02 | ERROR | stderr | Loading checkpoint shards:  86%|█████████████████████████████████████████████████████████████████████████▋            | 6/7 [00:01<00:00,  3.30it/s]
2024-03-26 18:22:02 | ERROR | stderr | Loading checkpoint shards: 100%|██████████████████████████████████████████████████████████████████████████████████████| 7/7 [00:02<00:00,  3.68it/s]
2024-03-26 18:22:02 | ERROR | stderr | Loading checkpoint shards: 100%|██████████████████████████████████████████████████████████████████████████████████████| 7/7 [00:02<00:00,  3.47it/s]
2024-03-26 18:22:02 | ERROR | stderr | 
